Date;SSS;SST;Oxygen (mmol m-3);SPCO2 (Pa);NO3 (mmol m-3);PO4 (mmol m-3);Si (mmol m-3);Fe (mmol m-3);Chl-a (mg m-3);Zoo as carbon (mmol m-3)
2022-04-04T00:00:00.000Z;32.74788666;29.35499191;200.9080048;40.56938553;0.004761823;0.113403074;3.134733438;0.001107563;0.122553699;0.304104745
2022-04-05T00:00:00.000Z;32.77993011;29.33667946;200.947998;40.65635681;0.004024562;0.112418383;3.133935452;0.001103355;0.123441905;0.279519409
2022-04-06T00:00:00.000Z;32.82418442;29.33741188;200.857605;40.57677078;0.003187006;0.110999696;3.136024475;0.001103526;0.121746175;0.272193819
2022-04-07T00:00:00.000Z;32.87148666;29.65089798;200.6754456;40.65144348;0.003513712;0.108048156;3.135669231;0.001118396;0.122136287;0.278752089
2022-04-08T00:00:00.000Z;32.87453842;29.73439789;200.6656189;40.73169327;0.003507571;0.106510334;3.13299036;0.001131245;0.122268125;0.314395428
2022-04-09T00:00:00.000Z;32.84859848;29.2378006;200.7484589;40.5904007;0.002632539;0.108054124;3.129924774;0.001124425;0.118824944;0.355339408
2022-04-10T00:00:00.000Z;32.84096909;29.36304855;200.7330475;40.46319199;0.002491105;0.109859191;3.127812624;0.001115434;0.115917876;0.353720784
2022-04-11T00:00:00.000Z;32.83028793;29.25537872;200.7680206;40.38165665;0.002931076;0.110033244;3.123779774;0.001111636;0.115579672;0.357303172
2022-04-12T00:00:00.000Z;32.82418442;29.20483971;200.7365875;40.3105278;0.00350926;0.109115809;3.114168406;0.001109368;0.116438486;0.370008558
2022-04-13T00:00:00.000Z;32.85622787;29.66042137;200.3282776;40.445858;0.005467901;0.107580945;3.098685026;0.001104718;0.119477041;0.369193435
2022-04-14T00:00:00.000Z;32.85775375;29.82961464;200.1238251;40.61788177;0.005659566;0.106147952;3.087510824;0.001099149;0.124506444;0.359879047
2022-04-15T00:00:00.000Z;32.85165024;29.61647415;200.2202606;40.5802269;0.004140761;0.105386041;3.082485199;0.00109615;0.125855982;0.366495341
